Element, vertices.x, vertices.y, vertices.z, vertices.w
376,  8.764,  0.00, -0.346,  0.00
377,  8.762,  0.00, -0.346,  0.00
378,  8.762,  0.00, -0.449,  0.00
379,  8.502,  0.00, -0.691,  0.00
380,  8.46,  0.00, -0.691,  0.00
381,  8.115,  0.00, -0.269,  0.00
382,  8.115,  0.00, -0.224,  0.00
383,  8.404,  0.00, -0.224,  0.00
384,  8.404,  0.00,  0.00,  0.00
385,  8.502,  0.00,  0.00,  0.00
386,  8.502,  0.00, -0.224,  0.00
387,  8.575,  0.00, -0.224,  0.00
388,  8.575,  0.00, -0.312,  0.00
389,  8.50201,  0.00, -0.312,  0.00
390,  8.402,  0.00, -0.506,  0.00
391,  8.404,  0.00, -0.506,  0.00
392,  8.40401,  0.00, -0.312,  0.00
393,  8.24601,  0.00, -0.312,  0.00
394,  7.598,  0.00,  0.075,  0.00
395,  7.59801,  0.00,  0.125,  0.00
396,  8.11,  0.00,  0.125,  0.00
397,  8.11,  0.00,  0.075,  0.00
398,  7.508,  0.00, -0.682,  0.00
399,  7.205,  0.00, -0.682,  0.00
400,  7.20499,  0.00, -0.327,  0.00
401,  7.24121,  0.00, -0.33386,  0.00
402,  7.27479,  0.00, -0.33665,  0.00
403,  7.30562,  0.00, -0.33567,  0.00
404,  7.33363,  0.00, -0.33122,  0.00
405,  7.35871,  0.00, -0.32361,  0.00
406,  7.38075,  0.00, -0.31313,  0.00
407,  7.39967,  0.00, -0.30008,  0.00
408,  7.41537,  0.00, -0.28478,  0.00
409,  7.42775,  0.00, -0.26752,  0.00
410,  7.43672,  0.00, -0.2486,  0.00
411,  7.44216,  0.00, -0.22832,  0.00
412,  7.44401,  0.00, -0.207,  0.00
413,  7.4427,  0.00, -0.1905,  0.00
414,  7.4389,  0.00, -0.17462,  0.00
415,  7.4328,  0.00, -0.15952,  0.00
416,  7.42456,  0.00, -0.14533,  0.00
417,  7.41435,  0.00, -0.13223,  0.00
418,  7.40237,  0.00, -0.12037,  0.00
419,  7.38879,  0.00, -0.10991,  0.00
420,  7.37379,  0.00, -0.101,  0.00
421,  7.35752,  0.00, -0.0938,  0.00
422,  7.34018,  0.00, -0.08846,  0.00
423,  7.32195,  0.00, -0.08514,  0.00
424,  7.303,  0.00, -0.084,  0.00
425,  7.2905,  0.00, -0.08435,  0.00
426,  7.27801,  0.00, -0.08541,  0.00
427,  7.26552,  0.00, -0.08717,  0.00
428,  7.25304,  0.00, -0.08963,  0.00
429,  7.24058,  0.00, -0.09278,  0.00
430,  7.22813,  0.00, -0.09663,  0.00
431,  7.2157,  0.00, -0.10116,  0.00
432,  7.2033,  0.00, -0.10637,  0.00
433,  7.19092,  0.00, -0.11227,  0.00
434,  7.17858,  0.00, -0.11884,  0.00
435,  7.16627,  0.00, -0.12608,  0.00
436,  7.154,  0.00, -0.134,  0.00
437,  7.15401,  0.00, -0.033,  0.00
438,  7.16852,  0.00, -0.02587,  0.00
439,  7.18262,  0.00, -0.01947,  0.00
440,  7.19638,  0.00, -0.01378,  0.00
441,  7.20989,  0.00, -0.00878,  0.00
442,  7.22323,  0.00, -0.00444,  0.00
443,  7.2365,  0.00, -0.00075,  0.00
444,  7.24976,  0.00,  0.00232,  0.00
445,  7.26311,  0.00,  0.00478,  0.00
446,  7.27663,  0.00,  0.00666,  0.00
447,  7.29038,  0.00,  0.00797,  0.00
448,  7.30449,  0.00,  0.00875,  0.00
449,  7.319,  0.00,  0.009,  0.00
450,  7.35048,  0.00,  0.00712,  0.00
451,  7.38031,  0.00,  0.0016,  0.00
452,  7.40826,  0.00, -0.00734,  0.00
453,  7.43415,  0.00, -0.01952,  0.00
454,  7.45775,  0.00, -0.03472,  0.00
455,  7.47888,  0.00, -0.05275,  0.00
456,  7.49731,  0.00, -0.0734,  0.00
457,  7.51285,  0.00, -0.09648,  0.00
458,  7.5253,  0.00, -0.12178,  0.00
459,  7.53444,  0.00, -0.1491,  0.00
460,  7.54008,  0.00, -0.17824,  0.00
461,  7.542,  0.00, -0.209,  0.00
462,  7.54007,  0.00, -0.23985,  0.00
463,  7.53433,  0.00, -0.26923,  0.00
464,  7.52491,  0.00, -0.29686,  0.00
465,  7.51193,  0.00, -0.32248,  0.00
466,  7.49551,  0.00, -0.34583,  0.00
467,  7.47576,  0.00, -0.36663,  0.00
468,  7.45279,  0.00, -0.38461,  0.00
469,  7.42674,  0.00, -0.39952,  0.00
470,  7.39772,  0.00, -0.41108,  0.00
471,  7.36584,  0.00, -0.41902,  0.00
472,  7.33123,  0.00, -0.42309,  0.00
473,  7.294,  0.00, -0.423,  0.00
474,  7.294,  0.00, -0.594,  0.00
475,  7.508,  0.00, -0.594,  0.00
476,  7.07,  0.00, -0.093,  0.00
477,  6.80901,  0.00, -0.093,  0.00
478,  6.8451,  0.00, -0.13648,  0.00
479,  6.87748,  0.00, -0.17666,  0.00
480,  6.90625,  0.00, -0.21391,  0.00
481,  6.93152,  0.00, -0.24859,  0.00
482,  6.95339,  0.00, -0.28109,  0.00
483,  6.972,  0.00, -0.31175,  0.00
484,  6.98744,  0.00, -0.34096,  0.00
485,  6.99981,  0.00, -0.36907,  0.00
486,  7.00925,  0.00, -0.39647,  0.00
487,  7.01585,  0.00, -0.42351,  0.00
488,  7.01973,  0.00, -0.45056,  0.00
489,  7.021,  0.00, -0.478,  0.00
490,  7.01926,  0.00, -0.50866,  0.00
491,  7.01413,  0.00, -0.53753,  0.00
492,  7.00579,  0.00, -0.56444,  0.00
493,  6.99441,  0.00, -0.58922,  0.00
494,  6.98013,  0.00, -0.61172,  0.00
495,  6.96313,  0.00, -0.63175,  0.00
496,  6.94355,  0.00, -0.64916,  0.00
497,  6.92159,  0.00, -0.66378,  0.00
498,  6.89739,  0.00, -0.67544,  0.00
499,  6.87112,  0.00, -0.68397,  0.00
500,  6.84293,  0.00, -0.68922,  0.00
501,  6.813,  0.00, -0.691,  0.00
502,  6.79933,  0.00, -0.69056,  0.00
503,  6.7858,  0.00, -0.68924,  0.00
504,  6.77237,  0.00, -0.68703,  0.00
505,  6.75904,  0.00, -0.68393,  0.00
506,  6.74576,  0.00, -0.67992,  0.00
507,  6.7325,  0.00, -0.675,  0.00
508,  6.71924,  0.00, -0.66917,  0.00
509,  6.70597,  0.00, -0.66241,  0.00
510,  6.69262,  0.00, -0.65472,  0.00
511,  6.67921,  0.00, -0.64609,  0.00
512,  6.66567,  0.00, -0.63652,  0.00
513,  6.652,  0.00, -0.626,  0.00
514,  6.652,  0.00, -0.503,  0.00
515,  6.66565,  0.00, -0.51951,  0.00
516,  6.6791,  0.00, -0.53412,  0.00
517,  6.69237,  0.00, -0.54691,  0.00
518,  6.70548,  0.00, -0.55796,  0.00
519,  6.71843,  0.00, -0.56738,  0.00
520,  6.73125,  0.00, -0.57525,  0.00
521,  6.74394,  0.00, -0.58166,  0.00
522,  6.75652,  0.00, -0.5867,  0.00
523,  6.769,  0.00, -0.59047,  0.00
524,  6.7814,  0.00, -0.59305,  0.00
525,  6.79373,  0.00, -0.59453,  0.00
526,  6.806,  0.00, -0.595,  0.00
527,  6.82238,  0.00, -0.59391,  0.00
